ticker,title,content,published_date,source,sentiment_score
AXP,"American Express Raises Dividend by 7%, Announces $12B Buyback",American Express increased its quarterly dividend by 7% and authorized a $12 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-01,AP News,0.59
MRK,Needham Boosts Merck Price Target to $492,"Needham analyst boosts Merck (MRK) price target to $492, citing margin expansion. The firm maintains a Outperform rating on the stock.",2021-02-01,Zacks,0.6
CVX,Chevron Shares Climb 2.1% on Market Breadth Improves,Chevron (CVX) shares climbed 2.1% following market breadth improves. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-01,CNBC,0.63
SLB,JPMorgan Raises SLB Price Target to $259,"JPMorgan analyst raises SLB (SLB) price target to $259, citing AI tailwinds. The firm maintains a Buy rating on the stock.",2021-02-01,Wall Street Journal,0.69
OXY,Occidental Petroleum Faces Challenges from Renewable Energy Investment,Occidental Petroleum (OXY) faces headwinds from renewable energy investment. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2021-02-01,CNBC,-0.26
OXY,Occidental Petroleum Reaches $1698M Settlement with Federal Reserve,Occidental Petroleum agreed to pay $1698 million to settle regulatory charges brought by the Federal Reserve. The company neither admitted nor denied the allegations.,2021-02-01,Reuters,-0.42
OXY,Stifel Increases Occidental Petroleum Price Target to $332,"Stifel analyst increases Occidental Petroleum (OXY) price target to $332, citing accelerating revenue growth. The firm maintains a Overweight rating on the stock.",2021-02-01,Financial Times,0.63
MCD,Piper Sandler Boosts McDonald's Price Target to $99,"Piper Sandler analyst boosts McDonald's (MCD) price target to $99, citing margin expansion. The firm maintains a Outperform rating on the stock.",2021-02-01,AP News,0.41
BA,Wells Fargo Reduces Boeing Price Target to $486,"Wells Fargo analyst reduces Boeing (BA) price target to $486, citing valuation concerns. The firm maintains a Neutral rating on the stock.",2021-02-01,Zacks,-0.31
LMT,Lockheed Martin Positioned to Benefit from Infrastructure Investment,Analysts see Lockheed Martin (LMT) as well-positioned to benefit from infrastructure investment. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2021-02-01,CNBC,0.19
UPS,"UPS Raises Dividend by 15%, Announces $20B Buyback",UPS increased its quarterly dividend by 15% and authorized a $20 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-01,Zacks,0.46
AAPL,"Apple Launches Subscription Tier, Shares Rise","Apple unveiled its new subscription tier at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Apple's strategic growth priorities.",2021-02-02,Reuters,0.28
SQ,Block Shares Surge 3.9% on Earnings Season Surprises To Upside,Block (SQ) shares surgeed 3.9% following earnings season surprises to upside. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-02,Yahoo Finance,0.65
C,"Citigroup Launches Blockchain Initiative, Shares Jump","Citigroup unveiled its new blockchain initiative at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Citigroup's strategic growth priorities.",2021-02-02,Financial Times,0.44
LLY,Eli Lilly Faces Investigation by DOJ,"The DOJ opened an investigation into Eli Lilly's business practices, focusing on potential regulatory violations. Eli Lilly said it would cooperate fully with the inquiry.",2021-02-02,Financial Times,-0.42
GE,GE Aerospace Shares Surge 4.0% on M&A Activity Picks Up,GE Aerospace (GE) shares surgeed 4.0% following M&A activity picks up. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-02,Yahoo Finance,0.58
LMT,Lockheed Martin Shares Gain 4.8% on M&A Activity Picks Up,Lockheed Martin (LMT) shares gained 4.8% following M&A activity picks up. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-02,CNBC,0.42
BAC,"Bank of America Reports Q1 Revenue of $81.7B, Beating Expectations","Bank of America announced Q1 2021 revenue of $81.7 billion, surpassing analyst estimates. The company reported earnings per share of $11.63, above consensus. Management raised full-year guidance citing strong demand.",2021-02-03,MarketWatch,0.78
NVDA,"Nvidia Reports Q1 Revenue of $26.8B, Beating Expectations","Nvidia announced Q1 2021 revenue of $26.8 billion, surpassing analyst estimates. The company reported earnings per share of $0.69, above consensus. Management raised full-year guidance citing strong demand.",2021-02-04,AP News,0.7
PLTR,Palantir Shares Gain 4.8% on Global Trade Optimism,Palantir (PLTR) shares gained 4.8% following global trade optimism. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-04,TheStreet,0.35
JNJ,Johnson & Johnson Shares Gain 3.5% on Consumer Spending Surges,Johnson & Johnson (JNJ) shares gained 3.5% following consumer spending surges. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-04,MarketWatch,0.3
JNJ,Johnson & Johnson Shares Climb 4.9% on Fed Signals Rate Pause,Johnson & Johnson (JNJ) shares climbed 4.9% following Fed signals rate pause. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-04,Benzinga,0.58
XOM,ExxonMobil Cuts Workforce by 8%,ExxonMobil announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2021-02-04,MarketWatch,-0.28
COST,Costco Faces Investigation by CFPB,"The CFPB opened an investigation into Costco's business practices, focusing on potential regulatory violations. Costco said it would cooperate fully with the inquiry.",2021-02-04,Financial Times,-0.37
MCD,Piper Sandler Reduces McDonald's Price Target to $410,"Piper Sandler analyst reduces McDonald's (MCD) price target to $410, citing valuation concerns. The firm maintains a Sell rating on the stock.",2021-02-04,Investor's Business Daily,-0.3
TSLA,Needham Increases Tesla Price Target to $138,"Needham analyst increases Tesla (TSLA) price target to $138, citing market share gains. The firm maintains a Buy rating on the stock.",2021-02-05,BBC Business,0.66
SQ,"Block Launches Mobile App Update, Shares Rise","Block unveiled its new mobile app update at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Block's strategic growth priorities.",2021-02-05,AP News,0.57
SHOP,Bernstein Reduces Shopify Price Target to $356,"Bernstein analyst reduces Shopify (SHOP) price target to $356, citing margin compression. The firm maintains a Hold rating on the stock.",2021-02-05,Wall Street Journal,-0.16
BAC,"Bank of America Reports Q1 Revenue of $81.4B, Beating Expectations","Bank of America announced Q1 2021 revenue of $81.4 billion, surpassing analyst estimates. The company reported earnings per share of $9.17, above consensus. Management raised full-year guidance citing strong demand.",2021-02-05,TipRanks,0.82
UPS,UPS Reaches $425M Settlement with Federal Reserve,UPS agreed to pay $425 million to settle regulatory charges brought by the Federal Reserve. The company neither admitted nor denied the allegations.,2021-02-05,Wall Street Journal,-0.37
AAPL,"Apple Launches Next-Gen Chip, Shares Jump","Apple unveiled its new next-gen chip at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Apple's strategic growth priorities.",2021-02-08,AP News,0.24
GOOGL,JPMorgan Boosts Alphabet Price Target to $377,"JPMorgan analyst boosts Alphabet (GOOGL) price target to $377, citing strong growth outlook. The firm maintains a Outperform rating on the stock.",2021-02-08,Business Insider,0.61
SQ,"Block Reports Q1 Revenue of $78.5B, Beating Expectations","Block announced Q1 2021 revenue of $78.5 billion, surpassing analyst estimates. The company reported earnings per share of $2.0, above consensus. Management raised full-year guidance citing strong demand.",2021-02-08,Benzinga,0.81
SNOW,Snowflake Shares Climb 3.8% on Global Trade Optimism,Snowflake (SNOW) shares climbed 3.8% following global trade optimism. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-08,AP News,0.43
ABNB,"Airbnb Raises Dividend by 12%, Announces $41B Buyback",Airbnb increased its quarterly dividend by 12% and authorized a $41 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-08,Barron's,0.78
MS,"Morgan Stanley Launches Payment Solution, Shares Jump","Morgan Stanley unveiled its new payment solution at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Morgan Stanley's strategic growth priorities.",2021-02-08,TipRanks,0.63
WFC,Credit Suisse Raises Wells Fargo Price Target to $293,"Credit Suisse analyst raises Wells Fargo (WFC) price target to $293, citing market share gains. The firm maintains a Overweight rating on the stock.",2021-02-08,Forbes,0.26
WFC,Needham Increases Wells Fargo Price Target to $271,"Needham analyst increases Wells Fargo (WFC) price target to $271, citing strategic positioning. The firm maintains a Outperform rating on the stock.",2021-02-08,The Motley Fool,0.65
V,Visa Shares Surge 4.2% on Global Trade Optimism,Visa (V) shares surgeed 4.2% following global trade optimism. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-08,TechCrunch,0.3
MRNA,Moderna Faces Challenges from Aging Population Trends,Moderna (MRNA) faces headwinds from aging population trends. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2021-02-08,Business Insider,-0.41
ABBV,AbbVie Shares Surge 3.8% on Inflation Cooling Faster Than Expected,AbbVie (ABBV) shares surgeed 3.8% following inflation cooling faster than expected. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-08,Business Insider,0.51
LLY,Raymond James Cuts Eli Lilly Price Target to $289,"Raymond James analyst cuts Eli Lilly (LLY) price target to $289, citing macroeconomic uncertainty. The firm maintains a Underweight rating on the stock.",2021-02-08,Investor's Business Daily,-0.49
WMT,Wedbush Lowers Walmart Price Target to $437,"Wedbush analyst lowers Walmart (WMT) price target to $437, citing margin compression. The firm maintains a Hold rating on the stock.",2021-02-08,Bloomberg,-0.36
NKE,Nike Shares Surge 1.1% on Consumer Spending Surges,Nike (NKE) shares surgeed 1.1% following consumer spending surges. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-08,Financial Times,0.61
MCD,Cowen Lowers McDonald's Price Target to $401,"Cowen analyst lowers McDonald's (MCD) price target to $401, citing valuation concerns. The firm maintains a Sell rating on the stock.",2021-02-08,Barron's,-0.46
BA,Boeing Shares Surge 2.8% on Global Trade Optimism,Boeing (BA) shares surgeed 2.8% following global trade optimism. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-08,CNBC,0.47
UPS,Jefferies Raises UPS Price Target to $461,"Jefferies analyst raises UPS (UPS) price target to $461, citing strong growth outlook. The firm maintains a Outperform rating on the stock.",2021-02-08,TheStreet,0.68
GOOGL,Alphabet Shares Surge 3.5% on Market Breadth Improves,Alphabet (GOOGL) shares surgeed 3.5% following market breadth improves. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-09,BBC Business,0.73
CRM,Salesforce Positioned to Benefit from Digital Transformation,Analysts see Salesforce (CRM) as well-positioned to benefit from digital transformation. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2021-02-09,Business Insider,0.17
SNOW,Snowflake Names New Chief Technology Officer,Snowflake appointed a new CTO to lead its technology and innovation strategy. The hire signals an increased focus on digital transformation and AI capabilities.,2021-02-09,TheStreet,0.25
TSLA,Tesla Shares Surge 1.0% on Fed Signals Rate Pause,Tesla (TSLA) shares surgeed 1.0% following Fed signals rate pause. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-10,Forbes,0.22
C,Citigroup Shares Surge 1.2% on M&A Activity Picks Up,Citigroup (C) shares surgeed 1.2% following M&A activity picks up. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-10,The Motley Fool,0.24
GOOGL,Alphabet Shares Surge 5.4% on Institutional Investors Increase Equity Allocation,Alphabet (GOOGL) shares surgeed 5.4% following institutional investors increase equity allocation. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-11,Investor's Business Daily,0.37
AMZN,Amazon Developer Tools Launch Receives Mixed Reviews,"Amazon's new developer tools received mixed reviews from analysts and customers. Concerns about pricing, competition, and execution weighed on investor sentiment.",2021-02-11,Wall Street Journal,-0.35
INTC,Intel Faces Investigation by SEC,"The SEC opened an investigation into Intel's business practices, focusing on potential regulatory violations. Intel said it would cooperate fully with the inquiry.",2021-02-11,Reuters,-0.42
ADBE,Needham Raises Adobe Price Target to $497,"Needham analyst raises Adobe (ADBE) price target to $497, citing improving fundamentals. The firm maintains a Buy rating on the stock.",2021-02-11,Investor's Business Daily,0.21
GILD,"Gilead Sciences Reports Q1 Revenue of $116.0B, Beating Expectations","Gilead Sciences announced Q1 2021 revenue of $116.0 billion, surpassing analyst estimates. The company reported earnings per share of $9.35, above consensus. Management raised full-year guidance citing strong demand.",2021-02-11,Business Insider,0.4
GILD,"Gilead Sciences Launches Diagnostic Tool, Shares Jump","Gilead Sciences unveiled its new diagnostic tool at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Gilead Sciences's strategic growth priorities.",2021-02-11,Seeking Alpha,0.66
CAT,Credit Suisse Boosts Caterpillar Price Target to $432,"Credit Suisse analyst boosts Caterpillar (CAT) price target to $432, citing market share gains. The firm maintains a Buy rating on the stock.",2021-02-11,Benzinga,0.34
GE,GE Aerospace Shares Surge 4.6% on Gdp Growth Beats Expectations,GE Aerospace (GE) shares surgeed 4.6% following GDP growth beats expectations. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-11,TheStreet,0.25
UPS,Deutsche Bank Raises UPS Price Target to $156,"Deutsche Bank analyst raises UPS (UPS) price target to $156, citing accelerating revenue growth. The firm maintains a Buy rating on the stock.",2021-02-11,MarketWatch,0.32
MSFT,"Microsoft Reports Q1 Revenue of $28.8B, Beating Expectations","Microsoft announced Q1 2021 revenue of $28.8 billion, surpassing analyst estimates. The company reported earnings per share of $9.75, above consensus. Management raised full-year guidance citing strong demand.",2021-02-12,Wall Street Journal,0.56
MS,Morgan Stanley Shares Surge 1.3% on Inflation Cooling Faster Than Expected,Morgan Stanley (MS) shares surgeed 1.3% following inflation cooling faster than expected. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-12,Business Insider,0.29
PFE,Pfizer Shares Surge 3.2% on Inflation Cooling Faster Than Expected,Pfizer (PFE) shares surgeed 3.2% following inflation cooling faster than expected. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-12,Seeking Alpha,0.38
MRNA,"Moderna Q1 Earnings Miss Estimates, Revenue Falls Short","Moderna reported Q1 2021 revenue of $52.5 billion, missing analyst expectations. Earnings per share came in at $7.99, below consensus. Management cited macroeconomic headwinds and cautious consumer spending.",2021-02-12,BBC Business,-0.47
MCD,Piper Sandler Raises McDonald's Price Target to $366,"Piper Sandler analyst raises McDonald's (MCD) price target to $366, citing strong growth outlook. The firm maintains a Buy rating on the stock.",2021-02-12,Investor's Business Daily,0.51
MSFT,Microsoft Names New Chief Technology Officer,Microsoft appointed a new CTO to lead its technology and innovation strategy. The hire signals an increased focus on digital transformation and AI capabilities.,2021-02-15,TipRanks,0.24
AMZN,Amazon Shares Rally 1.5% on Global Trade Optimism,Amazon (AMZN) shares rallyed 1.5% following global trade optimism. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-15,Financial Times,0.35
JPM,JPMorgan Shares Climb 3.6% on Institutional Investors Increase Equity Allocation,JPMorgan (JPM) shares climbed 3.6% following institutional investors increase equity allocation. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-15,MarketWatch,0.33
MS,JPMorgan Raises Morgan Stanley Price Target to $234,"JPMorgan analyst raises Morgan Stanley (MS) price target to $234, citing market share gains. The firm maintains a Outperform rating on the stock.",2021-02-15,AP News,0.24
UNH,UnitedHealth Positioned to Benefit from Drug Pricing Reform,Analysts see UnitedHealth (UNH) as well-positioned to benefit from drug pricing reform. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2021-02-15,Business Insider,0.28
PFE,Oppenheimer Raises Pfizer Price Target to $153,"Oppenheimer analyst raises Pfizer (PFE) price target to $153, citing strong growth outlook. The firm maintains a Overweight rating on the stock.",2021-02-15,Yahoo Finance,0.46
LLY,"Eli Lilly Launches Biosimilar Product, Shares Rise","Eli Lilly unveiled its new biosimilar product at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Eli Lilly's strategic growth priorities.",2021-02-15,Seeking Alpha,0.67
TMO,Thermo Fisher Shares Climb 3.2% on Inflation Cooling Faster Than Expected,Thermo Fisher (TMO) shares climbed 3.2% following inflation cooling faster than expected. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-15,BBC Business,0.51
XOM,"ExxonMobil Launches Carbon Capture Project, Shares Rise","ExxonMobil unveiled its new carbon capture project at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with ExxonMobil's strategic growth priorities.",2021-02-15,Wall Street Journal,0.64
CVX,"Chevron Raises Dividend by 3%, Announces $25B Buyback",Chevron increased its quarterly dividend by 3% and authorized a $25 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-15,Wall Street Journal,0.49
CAT,Caterpillar Reaches $834M Settlement with EU Commission,Caterpillar agreed to pay $834 million to settle regulatory charges brought by the EU Commission. The company neither admitted nor denied the allegations.,2021-02-15,BBC Business,-0.12
LMT,"Lockheed Martin Launches Defense Contract Deliverable, Shares Gain","Lockheed Martin unveiled its new defense contract deliverable at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Lockheed Martin's strategic growth priorities.",2021-02-15,CNBC,0.62
META,Meta Platforms Faces Challenges from Digital Transformation,Meta Platforms (META) faces headwinds from digital transformation. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2021-02-16,Barron's,-0.14
SHOP,"Shopify Raises Dividend by 24%, Announces $26B Buyback",Shopify increased its quarterly dividend by 24% and authorized a $26 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-16,The Motley Fool,0.64
C,Oppenheimer Cuts Citigroup Price Target to $278,"Oppenheimer analyst cuts Citigroup (C) price target to $278, citing valuation concerns. The firm maintains a Sell rating on the stock.",2021-02-16,AP News,-0.31
MRK,Merck Shares Rally 3.5% on Fed Signals Rate Pause,Merck (MRK) shares rallyed 3.5% following Fed signals rate pause. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-16,Business Insider,0.5
XOM,Credit Suisse Raises ExxonMobil Price Target to $216,"Credit Suisse analyst raises ExxonMobil (XOM) price target to $216, citing strategic positioning. The firm maintains a Outperform rating on the stock.",2021-02-16,Bloomberg,0.62
INTC,Jefferies Boosts Intel Price Target to $356,"Jefferies analyst boosts Intel (INTC) price target to $356, citing market share gains. The firm maintains a Outperform rating on the stock.",2021-02-17,BBC Business,0.47
UBER,Uber Shares Surge 4.0% on M&A Activity Picks Up,Uber (UBER) shares surgeed 4.0% following M&A activity picks up. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-17,TheStreet,0.66
JPM,Bank of America Lowers JPMorgan Price Target to $99,"Bank of America analyst lowers JPMorgan (JPM) price target to $99, citing regulatory headwinds. The firm maintains a Neutral rating on the stock.",2021-02-17,Barron's,-0.44
BRK-B,Morgan Stanley Reduces Berkshire Hathaway Price Target to $371,"Morgan Stanley analyst reduces Berkshire Hathaway (BRK-B) price target to $371, citing execution risks. The firm maintains a Sell rating on the stock.",2021-02-17,BBC Business,-0.28
PFE,"Pfizer Launches Clinical Trial Results, Shares Gain","Pfizer unveiled its new clinical trial results at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Pfizer's strategic growth priorities.",2021-02-17,Forbes,0.27
HD,Home Depot Announces Organizational Restructuring,Home Depot revealed plans to reorganize its business units to improve efficiency and accelerate growth. The restructuring will affect multiple divisions and is expected to generate cost savings.,2021-02-17,TheStreet,0.18
HD,Home Depot Reaches $1314M Settlement with CFTC,Home Depot agreed to pay $1314 million to settle regulatory charges brought by the CFTC. The company neither admitted nor denied the allegations.,2021-02-17,Zacks,-0.37
CAT,"Caterpillar Reports Q1 Revenue of $23.7B, Beating Expectations","Caterpillar announced Q1 2021 revenue of $23.7 billion, surpassing analyst estimates. The company reported earnings per share of $2.83, above consensus. Management raised full-year guidance citing strong demand.",2021-02-17,AP News,0.73
ABNB,"Airbnb Raises Dividend by 10%, Announces $19B Buyback",Airbnb increased its quarterly dividend by 10% and authorized a $19 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-18,Business Insider,0.72
WFC,"Wells Fargo Reports Q1 Revenue of $98.4B, Beating Expectations","Wells Fargo announced Q1 2021 revenue of $98.4 billion, surpassing analyst estimates. The company reported earnings per share of $11.75, above consensus. Management raised full-year guidance citing strong demand.",2021-02-18,CNBC,0.46
JNJ,"Johnson & Johnson Launches New Drug Candidate, Shares Rise","Johnson & Johnson unveiled its new new drug candidate at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Johnson & Johnson's strategic growth priorities.",2021-02-18,MarketWatch,0.3
PFE,"Pfizer Reports Q1 Revenue of $99.7B, Beating Expectations","Pfizer announced Q1 2021 revenue of $99.7 billion, surpassing analyst estimates. The company reported earnings per share of $13.52, above consensus. Management raised full-year guidance citing strong demand.",2021-02-18,Business Insider,0.73
LLY,Goldman Sachs Increases Eli Lilly Price Target to $85,"Goldman Sachs analyst increases Eli Lilly (LLY) price target to $85, citing AI tailwinds. The firm maintains a Buy rating on the stock.",2021-02-18,TheStreet,0.53
MRK,Goldman Sachs Raises Merck Price Target to $320,"Goldman Sachs analyst raises Merck (MRK) price target to $320, citing margin expansion. The firm maintains a Overweight rating on the stock.",2021-02-18,Reuters,0.27
GE,"GE Aerospace Reports Q1 Revenue of $110.0B, Beating Expectations","GE Aerospace announced Q1 2021 revenue of $110.0 billion, surpassing analyst estimates. The company reported earnings per share of $3.84, above consensus. Management raised full-year guidance citing strong demand.",2021-02-18,Wall Street Journal,0.82
NFLX,"Netflix Reports Q1 Revenue of $40.1B, Beating Expectations","Netflix announced Q1 2021 revenue of $40.1 billion, surpassing analyst estimates. The company reported earnings per share of $3.52, above consensus. Management raised full-year guidance citing strong demand.",2021-02-19,CNBC,0.59
GS,"Goldman Sachs Launches Digital Banking Platform, Shares Rise","Goldman Sachs unveiled its new digital banking platform at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Goldman Sachs's strategic growth priorities.",2021-02-19,MarketWatch,0.57
MA,Mastercard Positioned to Benefit from Fintech Disruption,Analysts see Mastercard (MA) as well-positioned to benefit from fintech disruption. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2021-02-19,TheStreet,0.49
C,Raymond James Increases Citigroup Price Target to $279,"Raymond James analyst increases Citigroup (C) price target to $279, citing AI tailwinds. The firm maintains a Outperform rating on the stock.",2021-02-19,Yahoo Finance,0.44
PFE,Needham Cuts Pfizer Price Target to $51,"Needham analyst cuts Pfizer (PFE) price target to $51, citing macroeconomic uncertainty. The firm maintains a Underweight rating on the stock.",2021-02-19,Barron's,-0.12
BMY,"Bristol-Myers Squibb Reports Q1 Revenue of $34.5B, Beating Expectations","Bristol-Myers Squibb announced Q1 2021 revenue of $34.5 billion, surpassing analyst estimates. The company reported earnings per share of $10.63, above consensus. Management raised full-year guidance citing strong demand.",2021-02-19,TechCrunch,0.84
MSFT,JPMorgan Raises Microsoft Price Target to $465,"JPMorgan analyst raises Microsoft (MSFT) price target to $465, citing accelerating revenue growth. The firm maintains a Outperform rating on the stock.",2021-02-22,Bloomberg,0.61
INTC,Intel Developer Tools Launch Receives Mixed Reviews,"Intel's new developer tools received mixed reviews from analysts and customers. Concerns about pricing, competition, and execution weighed on investor sentiment.",2021-02-22,Forbes,-0.36
CRM,Salesforce Shares Gain 2.5% on Gdp Growth Beats Expectations,Salesforce (CRM) shares gained 2.5% following GDP growth beats expectations. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-22,Business Insider,0.45
ABNB,Airbnb Shares Climb 4.2% on M&A Activity Picks Up,Airbnb (ABNB) shares climbed 4.2% following M&A activity picks up. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-22,Investor's Business Daily,0.75
JPM,JPMorgan Cuts Workforce by 4%,JPMorgan announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2021-02-22,BBC Business,-0.56
MRK,Merck Shares Gain 4.9% on Inflation Cooling Faster Than Expected,Merck (MRK) shares gained 4.9% following inflation cooling faster than expected. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-22,TheStreet,0.47
WMT,"Walmart Reports Q1 Revenue of $40.5B, Beating Expectations","Walmart announced Q1 2021 revenue of $40.5 billion, surpassing analyst estimates. The company reported earnings per share of $9.41, above consensus. Management raised full-year guidance citing strong demand.",2021-02-22,Zacks,0.83
COIN,Coinbase Faces Challenges from Digital Transformation,Coinbase (COIN) faces headwinds from digital transformation. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2021-02-23,BBC Business,-0.12
BAC,Bank of America Credit Product Launch Receives Mixed Reviews,"Bank of America's new credit product received mixed reviews from analysts and customers. Concerns about pricing, competition, and execution weighed on investor sentiment.",2021-02-23,Zacks,-0.32
GILD,Gilead Sciences Cuts Workforce by 11%,Gilead Sciences announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2021-02-23,TheStreet,-0.6
HD,Home Depot Sustainability Initiative Launch Receives Mixed Reviews,"Home Depot's new sustainability initiative received mixed reviews from analysts and customers. Concerns about pricing, competition, and execution weighed on investor sentiment.",2021-02-23,TheStreet,-0.28
MCD,"McDonald's Raises Dividend by 22%, Announces $24B Buyback",McDonald's increased its quarterly dividend by 22% and authorized a $24 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-23,Bloomberg,0.71
LMT,Lockheed Martin Shares Surge 2.0% on Earnings Season Surprises To Upside,Lockheed Martin (LMT) shares surgeed 2.0% following earnings season surprises to upside. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-23,Forbes,0.67
WFC,"Wells Fargo Reports Q1 Revenue of $116.5B, Beating Expectations","Wells Fargo announced Q1 2021 revenue of $116.5 billion, surpassing analyst estimates. The company reported earnings per share of $4.93, above consensus. Management raised full-year guidance citing strong demand.",2021-02-24,BBC Business,0.68
JNJ,Wedbush Increases Johnson & Johnson Price Target to $240,"Wedbush analyst increases Johnson & Johnson (JNJ) price target to $240, citing strong growth outlook. The firm maintains a Buy rating on the stock.",2021-02-24,Zacks,0.31
TMO,"Thermo Fisher Raises Dividend by 23%, Announces $24B Buyback",Thermo Fisher increased its quarterly dividend by 23% and authorized a $24 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2021-02-24,Barron's,0.5
COST,Costco Positioned to Benefit from Inflation Impact,Analysts see Costco (COST) as well-positioned to benefit from inflation impact. The company's strategic investments and market position provide competitive advantages in this evolving landscape.,2021-02-24,Business Insider,0.53
MSFT,JPMorgan Boosts Microsoft Price Target to $310,"JPMorgan analyst boosts Microsoft (MSFT) price target to $310, citing market share gains. The firm maintains a Buy rating on the stock.",2021-02-25,Zacks,0.36
GOOGL,Alphabet Shares Rally 4.4% on Earnings Season Surprises To Upside,Alphabet (GOOGL) shares rallyed 4.4% following earnings season surprises to upside. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2021-02-25,Zacks,0.29
AMZN,"Amazon Reports Q1 Revenue of $83.4B, Beating Expectations","Amazon announced Q1 2021 revenue of $83.4 billion, surpassing analyst estimates. The company reported earnings per share of $5.09, above consensus. Management raised full-year guidance citing strong demand.",2021-02-25,Yahoo Finance,0.8
UBER,Credit Suisse Boosts Uber Price Target to $466,"Credit Suisse analyst boosts Uber (UBER) price target to $466, citing market share gains. The firm maintains a Overweight rating on the stock.",2021-02-25,Benzinga,0.55
MA,Wells Fargo Raises Mastercard Price Target to $157,"Wells Fargo analyst raises Mastercard (MA) price target to $157, citing AI tailwinds. The firm maintains a Overweight rating on the stock.",2021-02-25,Investor's Business Daily,0.53
